"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BE000006447","UCCLE, BE","2020-09-14","71","88","57"
"BE000006447","UCCLE, BE","2020-09-15","77","94","65"
"BE000006447","UCCLE, BE","2020-09-16","69","81","61"
"BE000006447","UCCLE, BE","2020-09-17","60","69","53"
"BE000006447","UCCLE, BE","2020-09-18","61","75","48"
"BE000006447","UCCLE, BE","2020-09-19","69","82","54"
"BE000006447","UCCLE, BE","2020-09-20","65","76","59"
"BE000006447","UCCLE, BE","2020-09-21","60","76","48"
"BE000006447","UCCLE, BE","2020-09-22","60","74","49"
"BE000006447","UCCLE, BE","2020-09-23","63","71","55"
"BE000006447","UCCLE, BE","2020-09-24","56","64",
"BE000006447","UCCLE, BE","2020-09-25","50","55","46"
"BE000006447","UCCLE, BE","2020-09-26","51","55","48"
"BE000006447","UCCLE, BE","2020-09-27","56","60","52"
"BE000006447","UCCLE, BE","2020-09-28","55","59",
"BE000006447","UCCLE, BE","2020-09-29","58","63",
"BE000006447","UCCLE, BE","2020-09-30","61","67","55"
"BE000006447","UCCLE, BE","2020-10-01","56",,
"BE000006447","UCCLE, BE","2020-10-02","53","59","48"
"BE000006447","UCCLE, BE","2020-10-03","53","58",
"BE000006447","UCCLE, BE","2020-10-04","53","58","49"
"BE000006447","UCCLE, BE","2020-10-05","53","58","48"
"BE000006447","UCCLE, BE","2020-10-06","55","60","51"
"BE000006447","UCCLE, BE","2020-10-07","54","59","51"
"BE000006447","UCCLE, BE","2020-10-08","57","62","51"
"BE000006447","UCCLE, BE","2020-10-09","54","61",
"BE000006447","UCCLE, BE","2020-10-10","49","55","44"
"BE000006447","UCCLE, BE","2020-10-11","48","55",
"BE000006447","UCCLE, BE","2020-10-12","50","58","45"
"BE000006447","UCCLE, BE","2020-10-13","49","52",
"BE000006447","UCCLE, BE","2020-10-14","47","53","41"
"BE000006447","UCCLE, BE","2020-10-15","49","53","46"
"BE000006447","UCCLE, BE","2020-10-16","48","51",
"BE000006447","UCCLE, BE","2020-10-17","46","53","40"
"BE000006447","UCCLE, BE","2020-10-18","49","54","46"
"BE000006447","UCCLE, BE","2020-10-19","50","58",
"BE000006447","UCCLE, BE","2020-10-20","55","60","44"
"BE000006447","UCCLE, BE","2020-10-21","61","69","54"
"BE000006447","UCCLE, BE","2020-10-22","58","63",
"BE000006447","UCCLE, BE","2020-10-23","57","63","53"
"BE000006447","UCCLE, BE","2020-10-24","57","60","53"
"BE000006447","UCCLE, BE","2020-10-25","53",,
"BE000006447","UCCLE, BE","2020-10-26","50","56","47"
"BE000006447","UCCLE, BE","2020-10-27","50",,"46"
"BE000006447","UCCLE, BE","2020-10-28","52","55",
"BE000006447","UCCLE, BE","2020-10-29","52",,"46"
"BE000006447","UCCLE, BE","2020-10-30","57","60","53"
"BE000006447","UCCLE, BE","2020-10-31","57","62",
"BE000006447","UCCLE, BE","2020-11-01","58","64","51"
"BE000006447","UCCLE, BE","2020-11-02","60","66",
"BE000006447","UCCLE, BE","2020-11-03","48","54",
"BE000006447","UCCLE, BE","2020-11-04","43","52",
"BE000006447","UCCLE, BE","2020-11-05","42","53","35"
"BE000006447","UCCLE, BE","2020-11-06","43","54","36"
"BE000006447","UCCLE, BE","2020-11-07","50","63","38"
"BE000006447","UCCLE, BE","2020-11-08","55","65","48"
"BE000006447","UCCLE, BE","2020-11-09","54","60",
"BE000006447","UCCLE, BE","2020-11-10","53","57",
"BE000006447","UCCLE, BE","2020-11-11","52","56","48"
"BE000006447","UCCLE, BE","2020-11-12","51","54",
"BE000006447","UCCLE, BE","2020-11-13","51","57","43"
"BE000006447","UCCLE, BE","2020-11-14","56","59",
"BE000006447","UCCLE, BE","2020-11-15","55","59",
"BE000006447","UCCLE, BE","2020-11-16","50",,"46"
"BE000006447","UCCLE, BE","2020-11-17","53","55","50"
"BE000006447","UCCLE, BE","2020-11-18","55","61","48"
"BE000006447","UCCLE, BE","2020-11-19","48",,
"BE000006447","UCCLE, BE","2020-11-20","40","46",
"BE000006447","UCCLE, BE","2020-11-21","46","50","38"
"BE000006447","UCCLE, BE","2020-11-22","48","48","47"
"BE000006447","UCCLE, BE","2020-11-23","47","51",
"BE000006447","UCCLE, BE","2020-11-24","47","52",
"BE000006447","UCCLE, BE","2020-11-25","45","50","40"
"BE000006447","UCCLE, BE","2020-11-26","47","54",
"BE000006447","UCCLE, BE","2020-11-27","45","48","42"
"BE000006447","UCCLE, BE","2020-11-28","44","55",
"BE000006447","UCCLE, BE","2020-11-29","36",,
"BE000006447","UCCLE, BE","2020-11-30","35",,"29"
"BE000006447","UCCLE, BE","2020-12-01","45","48","38"
"BE000006447","UCCLE, BE","2020-12-02","44",,
"BE000006447","UCCLE, BE","2020-12-03","42",,
"BE000006447","UCCLE, BE","2020-12-04","42",,
"BE000006447","UCCLE, BE","2020-12-05","37","41",
"BE000006447","UCCLE, BE","2020-12-06","34","39","30"
"BE000006447","UCCLE, BE","2020-12-07","34",,
"BE000006447","UCCLE, BE","2020-12-08","36","42",
"BE000006447","UCCLE, BE","2020-12-09","35","38",
"BE000006447","UCCLE, BE","2020-12-10","37","42",
"BE000006447","UCCLE, BE","2020-12-11","40",,"34"
"BE000006447","UCCLE, BE","2020-12-12","46","47","44"
"BE000006447","UCCLE, BE","2020-12-13","43",,
"BE000006447","UCCLE, BE","2020-12-14","49","52","43"
"BE000006447","UCCLE, BE","2020-12-15","48","50",
"BE000006447","UCCLE, BE","2020-12-16","47","51","42"
"BE000006447","UCCLE, BE","2020-12-17","48","51",
"BE000006447","UCCLE, BE","2020-12-18","48","53","44"
"BE000006447","UCCLE, BE","2020-12-19","48","53","45"
"BE000006447","UCCLE, BE","2020-12-20","48","50",
"BE000006447","UCCLE, BE","2020-12-21","47",,"43"
"BE000006447","UCCLE, BE","2020-12-22","55",,"50"
"BE000006447","UCCLE, BE","2020-12-23","53","54",
"BE000006447","UCCLE, BE","2020-12-24","42",,
"BE000006447","UCCLE, BE","2020-12-25","38","42","34"
"BE000006447","UCCLE, BE","2020-12-26","38","41",
"BE000006447","UCCLE, BE","2020-12-27","41","42","39"
"BE000006447","UCCLE, BE","2020-12-28","37","41",
"BE000006447","UCCLE, BE","2020-12-29","37","40","33"
"BE000006447","UCCLE, BE","2020-12-30","37","41","33"
"BE000006447","UCCLE, BE","2020-12-31","37","38",
"BE000006447","UCCLE, BE","2021-01-01","35","39",
"BE000006447","UCCLE, BE","2021-01-02","36","38","32"
"BE000006447","UCCLE, BE","2021-01-03","37","38",
"BE000006447","UCCLE, BE","2021-01-04","35",,"35"
"BE000006447","UCCLE, BE","2021-01-05","36","36","35"
"BE000006447","UCCLE, BE","2021-01-06","36","37",
"BE000006447","UCCLE, BE","2021-01-07","35","38",
"BE000006447","UCCLE, BE","2021-01-08","35","38",
"BE000006447","UCCLE, BE","2021-01-09","29","32","27"
"BE000006447","UCCLE, BE","2021-01-10","31","37","29"
"BE000006447","UCCLE, BE","2021-01-11","38",,"29"
"BE000006447","UCCLE, BE","2021-01-12","42","46",
"BE000006447","UCCLE, BE","2021-01-13","36","40","31"
"BE000006447","UCCLE, BE","2021-01-14","35",,
"BE000006447","UCCLE, BE","2021-01-15","33","35","30"
"BE000006447","UCCLE, BE","2021-01-16","32","33",
"BE000006447","UCCLE, BE","2021-01-17","38","43","31"
"BE000006447","UCCLE, BE","2021-01-18","39","42","35"
"BE000006447","UCCLE, BE","2021-01-19","43","46","39"
"BE000006447","UCCLE, BE","2021-01-20","47",,"42"
"BE000006447","UCCLE, BE","2021-01-21","46",,"42"
"BE000006447","UCCLE, BE","2021-01-22","39","45",
"BE000006447","UCCLE, BE","2021-01-23","38","42",
"BE000006447","UCCLE, BE","2021-01-24","34","36",
"BE000006447","UCCLE, BE","2021-01-25","36","41","33"
"BE000006447","UCCLE, BE","2021-01-26","37","42",
"BE000006447","UCCLE, BE","2021-01-27","38",,"33"
"BE000006447","UCCLE, BE","2021-01-28","48","51","42"
"BE000006447","UCCLE, BE","2021-01-29","48",,
"BE000006447","UCCLE, BE","2021-01-30","37",,
"BE000006447","UCCLE, BE","2021-01-31","33",,
"BE000006447","UCCLE, BE","2021-02-01","39","40","36"
"BE000006447","UCCLE, BE","2021-02-02","46","52","38"
"BE000006447","UCCLE, BE","2021-02-03","49","54",
"BE000006447","UCCLE, BE","2021-02-04","46","50",
"BE000006447","UCCLE, BE","2021-02-05","46","50",
"BE000006447","UCCLE, BE","2021-02-06","42","47",
"BE000006447","UCCLE, BE","2021-02-07","29",,
"BE000006447","UCCLE, BE","2021-02-08","23",,
"BE000006447","UCCLE, BE","2021-02-09","19",,
"BE000006447","UCCLE, BE","2021-02-10","19",,"17"
"BE000006447","UCCLE, BE","2021-02-13","30","35",
"BE000006447","UCCLE, BE","2021-02-14","32","42","21"
"BE000006447","UCCLE, BE","2021-02-15","40",,"36"
"BE000006447","UCCLE, BE","2021-02-16","48","57","42"
"BE000006447","UCCLE, BE","2021-02-17","49","54","45"
"BE000006447","UCCLE, BE","2021-02-18","46","53",
"BE000006447","UCCLE, BE","2021-02-19","41",,"38"
